Zona;Estación;Magnitud;Concentraciones máximas horarias;Concentraciones medias anuales
Zona 01 (Interior M-30);Barrio del Pilar;Dióxido de nitrógeno;186;28
Zona 01 (Interior M-30);Barrio del Pilar;Ozono;187;57
Zona 01 (Interior M-30);Castellana;Dióxido de nitrógeno;162;29
Zona 01 (Interior M-30);Castellana;Partículas en suspensión < 10µm;117;18
Zona 01 (Interior M-30);Castellana;Partículas en suspensión < 2,5µm;62;10
Zona 01 (Interior M-30);Cuatro Caminos;Dióxido de nitrógeno;167;29
Zona 01 (Interior M-30);Cuatro Caminos;Partículas en suspensión < 10µm;137;19
Zona 01 (Interior M-30);Cuatro Caminos;Partículas en suspensión < 2,5µm;81;10
Zona 01 (Interior M-30);Escuelas Aguirre;Dióxido de azufre;11;3
Zona 01 (Interior M-30);Escuelas Aguirre;Dióxido de nitrógeno;175;33
Zona 01 (Interior M-30);Escuelas Aguirre;Ozono;197;53
Zona 01 (Interior M-30);Escuelas Aguirre;Partículas en suspensión < 10µm;136;21
Zona 01 (Interior M-30);Escuelas Aguirre;Partículas en suspensión < 2,5µm;74;10
Zona 01 (Interior M-30);Méndez Álvaro;Dióxido de nitrógeno;140;28
Zona 01 (Interior M-30);Méndez Álvaro;Partículas en suspensión < 10µm;133;18
Zona 01 (Interior M-30);Méndez Álvaro;Partículas en suspensión < 2,5µm;64;9
Zona 01 (Interior M-30);Plaza Castilla;Dióxido de nitrógeno;166;30
Zona 01 (Interior M-30);Plaza Castilla;Partículas en suspensión < 10µm;122;19
Zona 01 (Interior M-30);Plaza Castilla;Partículas en suspensión < 2,5µm;54;8
Zona 01 (Interior M-30);Plaza de España;Dióxido de azufre;11;2
Zona 01 (Interior M-30);Plaza de España;Dióxido de nitrógeno;156;28
Zona 01 (Interior M-30);Plaza del Carmen;Dióxido de azufre;28;4
Zona 01 (Interior M-30);Plaza del Carmen;Dióxido de nitrógeno;130;31
Zona 01 (Interior M-30);Plaza del Carmen;Ozono;204;57
Zona 01 (Interior M-30);Ramón y Cajal;Dióxido de nitrógeno;183;30
Zona 01 (Interior M-30);Parque del Retiro;Dióxido de nitrógeno;131;20
Zona 01 (Interior M-30);Parque del Retiro;Ozono;204;56
Zona 02 (Sureste);Ensanche de Vallecas;Dióxido de nitrógeno;194;30
Zona 02 (Sureste);Ensanche de Vallecas;Ozono;200;53
Zona 02 (Sureste);Moratalaz;Dióxido de azufre;7;2
Zona 02 (Sureste);Moratalaz;Dióxido de nitrógeno;139;29
Zona 02 (Sureste);Moratalaz;Partículas en suspensión < 10µm;141;18
Zona 02 (Sureste);Vallecas;Dióxido de nitrógeno;147;30
Zona 02 (Sureste);Vallecas;Partículas en suspensión < 10µm;100;16
Zona 03 (Noreste);Arturo Soria;Dióxido de nitrógeno;177;27
Zona 03 (Noreste);Arturo Soria;Ozono;207;57
Zona 03 (Noreste);Barajas Pueblo;Dióxido de nitrógeno;163;34
Zona 03 (Noreste);Barajas Pueblo;Ozono;208;52
Zona 03 (Noreste);Juan Carlos I;Dióxido de nitrógeno;137;22
Zona 03 (Noreste);Juan Carlos I;Ozono;227;62
Zona 03 (Noreste);Sanchinarro;Dióxido de nitrógeno;186;24
Zona 03 (Noreste);Sanchinarro;Partículas en suspensión < 10µm;111;15
Zona 03 (Noreste);Sanchinarro;Partículas en suspensión < 2,5µm;54;8
Zona 03 (Noreste);Tres Olivos;Dióxido de nitrógeno;135;21
Zona 03 (Noreste);Tres Olivos;Ozono;194;58
Zona 03 (Noreste);Tres Olivos;Partículas en suspensión < 10µm;153;18
Zona 03 (Noreste);Urb. Embajada;Dióxido de nitrógeno;171;29
Zona 03 (Noreste);Urb. Embajada;Partículas en suspensión < 10µm;157;24
Zona 04 (Noroeste);Casa de Campo;Dióxido de nitrógeno;98;16
Zona 04 (Noroeste);Casa de Campo;Ozono;187;58
Zona 04 (Noroeste);Casa de Campo;Partículas en suspensión < 10µm;138;16
Zona 04 (Noroeste);Casa de Campo;Partículas en suspensión < 2,5µm;76;8
Zona 04 (Noroeste);El Pardo;Dióxido de nitrógeno;86;13
Zona 04 (Noroeste);El Pardo;Ozono;195;60
Zona 05 (Suroeste);Farolillo;Dióxido de nitrógeno;149;27
Zona 05 (Suroeste);Farolillo;Ozono;196;55
Zona 05 (Suroeste);Farolillo;Partículas en suspensión < 10µm;152;20
Zona 05 (Suroeste);Plaza Elíptica;Dióxido de nitrógeno;195;36
Zona 05 (Suroeste);Plaza Elíptica;Partículas en suspensión < 10µm;141;24
Zona 05 (Suroeste);Plaza Elíptica;Partículas en suspensión < 2,5µm;82;12
Zona 05 (Suroeste);Villaverde;Dióxido de nitrógeno;196;36
Zona 05 (Suroeste);Villaverde;Ozono;177;52
