Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28079 Madrid;;;Renta bruta media por persona;2022;23.984
28079 Madrid;;;Renta bruta media por hogar;2022;60.049
28079 Madrid;2807901 Madrid distrito 01;;Renta bruta media por persona;2022;27.030
28079 Madrid;2807901 Madrid distrito 01;;Renta bruta media por hogar;2022;53.908
28079 Madrid;2807902 Madrid distrito 02;;Renta bruta media por persona;2022;27.431
28079 Madrid;2807902 Madrid distrito 02;;Renta bruta media por hogar;2022;63.160
28079 Madrid;2807903 Madrid distrito 03;;Renta bruta media por persona;2022;33.396
28079 Madrid;2807903 Madrid distrito 03;;Renta bruta media por hogar;2022;79.868
28079 Madrid;2807904 Madrid distrito 04;;Renta bruta media por persona;2022;38.751
28079 Madrid;2807904 Madrid distrito 04;;Renta bruta media por hogar;2022;89.407
28079 Madrid;2807905 Madrid distrito 05;;Renta bruta media por persona;2022;42.678
28079 Madrid;2807905 Madrid distrito 05;;Renta bruta media por hogar;2022;104.706
28079 Madrid;2807906 Madrid distrito 06;;Renta bruta media por persona;2022;22.890
28079 Madrid;2807906 Madrid distrito 06;;Renta bruta media por hogar;2022;53.816
28079 Madrid;2807907 Madrid distrito 07;;Renta bruta media por persona;2022;36.934
28079 Madrid;2807907 Madrid distrito 07;;Renta bruta media por hogar;2022;81.889
28079 Madrid;2807908 Madrid distrito 08;;Renta bruta media por persona;2022;28.798
28079 Madrid;2807908 Madrid distrito 08;;Renta bruta media por hogar;2022;76.386
28079 Madrid;2807909 Madrid distrito 09;;Renta bruta media por persona;2022;36.592
28079 Madrid;2807909 Madrid distrito 09;;Renta bruta media por hogar;2022;93.541
28079 Madrid;2807910 Madrid distrito 10;;Renta bruta media por persona;2022;17.267
28079 Madrid;2807910 Madrid distrito 10;;Renta bruta media por hogar;2022;42.843
28079 Madrid;2807911 Madrid distrito 11;;Renta bruta media por persona;2022;15.239
28079 Madrid;2807911 Madrid distrito 11;;Renta bruta media por hogar;2022;40.339
28079 Madrid;2807912 Madrid distrito 12;;Renta bruta media por persona;2022;13.481
28079 Madrid;2807912 Madrid distrito 12;;Renta bruta media por hogar;2022;37.737
28079 Madrid;2807913 Madrid distrito 13;;Renta bruta media por persona;2022;13.354
28079 Madrid;2807913 Madrid distrito 13;;Renta bruta media por hogar;2022;35.380
28079 Madrid;2807914 Madrid distrito 14;;Renta bruta media por persona;2022;20.091
28079 Madrid;2807914 Madrid distrito 14;;Renta bruta media por hogar;2022;49.289
28079 Madrid;2807915 Madrid distrito 15;;Renta bruta media por persona;2022;22.440
28079 Madrid;2807915 Madrid distrito 15;;Renta bruta media por hogar;2022;55.112
28079 Madrid;2807916 Madrid distrito 16;;Renta bruta media por persona;2022;29.047
28079 Madrid;2807916 Madrid distrito 16;;Renta bruta media por hogar;2022;76.741
28079 Madrid;2807917 Madrid distrito 17;;Renta bruta media por persona;2022;13.604
28079 Madrid;2807917 Madrid distrito 17;;Renta bruta media por hogar;2022;38.269
28079 Madrid;2807918 Madrid distrito 18;;Renta bruta media por persona;2022;17.346
28079 Madrid;2807918 Madrid distrito 18;;Renta bruta media por hogar;2022;44.960
28079 Madrid;2807919 Madrid distrito 19;;Renta bruta media por persona;2022;18.214
28079 Madrid;2807919 Madrid distrito 19;;Renta bruta media por hogar;2022;48.513
28079 Madrid;2807920 Madrid distrito 20;;Renta bruta media por persona;2022;19.768
28079 Madrid;2807920 Madrid distrito 20;;Renta bruta media por hogar;2022;51.558
28079 Madrid;2807921 Madrid distrito 21;;Renta bruta media por persona;2022;27.125
28079 Madrid;2807921 Madrid distrito 21;;Renta bruta media por hogar;2022;70.909
