Nº Distrito;DISTRITO;m2 de ZONAS VERDES Y PARQUES;ha de ZONAS VERDES Y PARQUES
1;Centro;314.769,26;31,48
2;Arganzuela;907.120,00;90,71
3;Retiro;376.361,47;37,64
4;Salamanca;357.930,25;35,79
5;Chamartín;564.117,25;56,41
6;Tetuán;636.986,99;63,7
7;Chamberí;98.964,58;9,9
8;Fuencarral - El Pardo;3.681.910,80;368,19
9;Moncloa - Aravaca;1.874.662,40;187,47
10;Latina;2.769.509,80;276,95
11;Carabanchel;2.297.580,00;229,76
12;Usera;1.678.460,00;167,85
13;Puente de Vallecas;2.795.790,00;279,58
14;Moratalaz;1.178.110,00;117,81
15;Ciudad Lineal;1.336.681,77;133,67
16;Hortaleza;3.235.899,30;323,59
17;Villaverde;2.161.050,00;216,11
18;Villa de Vallecas;3.092.940,00;309,29
19;Vicálvaro;1.955.250,00;195,53
20;San Blas - Canillejas;1.750.213,30;175,02
21;Barajas;1.016.820,31;101,68
