DISTRITO;TURISMOS;AUTOBUSES;CAMIONES;REMOLQUES;MOTOS;CICLOMOTORES;TRACTORES;TOTAL_VEHÍCULOS
Ciudad de Madrid;1.399.658;5.864;135.634;10.239;217.661;41.967;19.068;1.830.091
Centro;42.250;93;5.373;361;10.396;1.688;710;60.871
Arganzuela;56.954;214;3.745;375;8.405;1.171;932;71.796
Retiro;51.148;2.440;3.932;233;8.983;1.249;706;68.691
Salamanca;63.881;135;6.975;1.195;12.760;1.780;1.736;88.462
Chamartín;69.875;109;7.375;600;12.847;3.133;1.491;95.430
Tetuán;58.064;28;6.402;1.040;10.048;2.138;1.358;79.078
Chamberí;55.829;37;4.827;688;11.053;1.558;1.022;75.014
Fuencarral - El Pardo;104.987;45;5.816;316;14.445;2.072;790;128.471
Moncloa - Aravaca;52.877;74;3.953;402;8.832;4.522;629;71.289
Latina;84.597;27;6.961;263;9.595;1.948;538;103.929
Carabanchel;84.462;120;9.072;213;11.076;2.540;560;108.043
Usera;45.236;39;5.458;159;5.323;1.447;394;58.056
Puente de Vallecas;79.818;53;9.107;271;9.960;2.815;665;102.689
Moratalaz;35.777;45;2.587;241;4.599;988;289;44.526
Ciudad Lineal;82.631;68;8.996;367;12.790;2.582;1.202;108.636
Hortaleza;80.879;141;5.587;499;12.270;2.011;1.087;102.474
Villaverde;54.717;418;6.736;444;5.032;1.238;536;69.121
Villa de Vallecas;43.475;34;5.254;257;5.325;894;647;55.886
Vicálvaro;30.439;37;2.972;115;3.884;603;315;38.365
San Blas - Canillejas;63.621;574;6.465;332;8.508;1.665;708;81.873
Barajas;22.183;36;2.274;113;4.190;392;227;29.415
