DISTRITO;Metro/metro ligero;Autobœs urbano;Coche particular;Tren de cercan’as;Taxi;Servicios de VTC (veh’culos de transporte con conductor);Autobœs interurbano;Bicicleta;Moto particular;Servicios de alquiler de coches y/o motos por minutos;Otros medios;Transporte de empresa;Transporte escolar;Servicios de alquiler de patinetes por minutos;Generalmente no utilizo ningœn medio de transporte;Media de medios utilizados
MADRID;66,4;62,9;49,2;21,1;15,9;13,6;9,7;6,1;5,6;3,1;2,3;1,3;0,4;0,3;2,9;2,6
Centro;68,4;61,2;43,3;21,7;20;18;15,3;8,8;5,8;2,4;2,2;2,4;2,5;1,8;4,2;2,7
Arganzuela;73,2;73,9;45;25,5;16,9;16,5;7,4;9,9;4;5,7;1,5;2,4;0,5;1;2,4;2,8
Retiro;59;71,3;42;20,3;28,1;12,8;5;6,1;5,8;5,8;3,5;2,1;-;1,1;3,4;2,6
Salamanca;64;74;41,7;14,7;31;24,4;10,5;6,4;7,9;8;4;1,2;0,5;0,6;3,1;2,9
Chamart’n;60,5;66,7;41,8;12,7;21,1;19;6,4;6,9;9,3;3,5;1,9;2,2;-;-;5,8;2,5
Tetu‡n;71,1;68,1;39,9;12,1;13,1;14,9;6,4;8,7;9,9;4,5;3,1;1;-;1,3;4,4;2,5
Chamber’;66,9;59,8;37,2;12;25,9;15,4;9,6;7,1;5,7;2,6;5,1;1,8;0,5;-;4,6;2,5
Fuencarral - El Pardo;62,3;53,7;59;15,6;8,3;11,2;9,6;4,6;3,3;4,4;2,4;1,2;0,4;0,6;3,6;2,4
Moncloa - Aravaca;59,2;53,1;56,3;20,1;21,5;12,5;15,6;5,5;8,1;2,6;1,3;0,6;1,3;-;2,2;2,6
Latina;81,8;71;44,3;33;15,6;12;10,9;5,2;5,9;0,5;1,9;0,7;0,9;-;1,1;2,8
Carabanchel;70;64,6;45,5;23;14,7;10,8;14,9;5,7;4;2,7;4,3;1,6;-;-;1,9;2,6
Usera;62,9;64,6;50,3;27,9;8,3;8,7;8,9;8,1;6,2;1,1;2,2;0,5;0,5;0,5;2,7;2,5
Puente de Vallecas;59,2;65,2;46,2;37,7;11,2;11,1;5,7;3,2;2,7;1,2;1,5;1;-;-;3,1;2,5
Moratalaz;62,3;72,5;52,8;8,6;16,7;14,8;8,2;3,9;5,4;3,3;3,1;1,1;-;-;3;2,5
Ciudad Lineal;69,4;69,3;51,1;11,5;19,6;12,3;12,2;6,5;5,7;3,9;0,5;1;-;-;3,2;2,6
Hortaleza;66,9;50,1;58,3;12,3;7,8;14,3;8,9;7,7;5,3;5,5;2,4;2,6;-;-;3,3;2,4
Villaverde;64,4;51,4;44;47,4;16,6;11;10,2;5,4;6,3;1;1,2;0,5;1,1;-;1,5;2,6
Villa de Vallecas;64,5;46,5;63,8;36,4;6,2;7,6;4,7;4,1;3,7;2,4;0,5;0,6;-;-;1;2,4
Vic‡lvaro;54,7;50,4;66,8;15,2;9,7;12,1;5,4;4,9;6,2;1,8;1,1;1,7;0,5;0,6;1,6;2,3
San Blas - Canillejas;67,9;66,8;60,2;7,8;15,1;14,6;12,3;5,5;3,7;0,5;2,5;1,6;-;-;2;2,6
Barajas;67,8;40,8;70,6;3,8;10,3;16,5;7;4,9;7,5;1,6;1;0;-;0,6;1,2;2,3
