COD_DISTRITO;DISTRITO;ESTACION;CODIGO;DIRECCION;NOM_TIPO;CONCENTRACIONES MEDIAS ANUALES
1;Centro;Plaza del Carmen;28079035;Plaza del Carmen esq. Tres Cruces;Urbana fondo;31
1;Centro;Plaza de España;28079004;Plaza de España;Urbana tráfico;28
2;Arganzuela;Méndez Álvaro;28079047;C/ Juan de Mariana / Plaza Amanecer Méndez Álvaro;Urbana fondo;28
3;Retiro;Escuelas Aguirre;28079008;Entre C/ Alcalá y C/ O’ Donell;Urbana tráfico;33
3;Retiro;Parque del Retiro;28079049;Paseo Venezuela- Palacio de Velázquez;Urbana fondo;20
4;Salamanca;Castellana;28079048;C/ José Gutiérrez Abascal;Urbana tráfico;29
5;Chamartín;Plaza Castilla;28079050;Plaza Castilla (Canal);Urbana tráfico;30
5;Chamartín;Ramón y Cajal;28079011;Avda. Ramón y Cajal esq. C/ Príncipe de Vergara;Urbana tráfico;30
6;Tetuán;Cuatro Caminos;28079038;Avda. Pablo Iglesias esq. C/ Marqués de Lema;Urbana tráfico;29
7;Chamberí;;;;;29
8;Fuencarral - El Pardo;Tres Olivos;28079060;Plaza Tres Olivos;Urbana fondo;21
8;Fuencarral - El Pardo;Barrio del Pilar;28079039;Avda. Betanzos esq. C/ Monforte de Lemos;Urbana tráfico;28
8;Fuencarral - El Pardo;El Pardo;28079058;Avda. La Guardia;Suburbana;13
9;Moncloa - Aravaca;Casa de Campo;28079024;Casa de Campo (Terminal del Teleférico);Suburbana;16
10;Latina;;;;;28
11;Carabanchel;Farolillo;28079018;C/ Farolillo - C/ Ervigio;Urbana fondo;27
12;Carabanchel;Plaza Elíptica;28079056;Plaza Elíptica - Avda. Oporto;Urbana tráfico;36
12;Usera;Plaza Elíptica;28079056;Plaza Elíptica - Avda. Oporto;Urbana tráfico;36
13;Puente de Vallecas;Vallecas;28079040;C/ Arroyo del Olivar esq. C/ Río Grande.;Urbana fondo;30
14;Moratalaz;Moratalaz;28079036;Avda. Moratalaz esq. Camino de los Vinateros;Urbana tráfico;29
15;Ciudad Lineal;Arturo Soria;28079016;C/ Arturo Soria esq. C/ Vizconde de los Asilos;Urbana fondo;27
16;Hortaleza;Sanchinarro;28079057;C/ Princesa de Éboli esq. C/ María Tudor;Urbana fondo;24
17;Villaverde;Villaverde;28079017;C/ Juan Peñalver;Urbana fondo;36
18;Villa de Vallecas;Ensanche de Vallecas;28079054;Avda. La Gavia / Avda. Las Suertes;Urbana fondo;30
19;Vicálvaro;;;;;30
20;San Blas - Canillejas;;;;;28
21;Barajas;Barajas Pueblo;28079027;C/ Júpiter, 21;Urbana fondo;34
21;Barajas;Juan Carlos I;28079059;Parque Juan Carlos I (frente oficinas mantenim...;Suburbana;22
21;Barajas;Urb. Embajada;28079055;C/ Riaño (Barajas);Urbana fondo;29
