 ;Área (ha) ;OBSERVACIONES
PARQUE DEL OESTE - TEMPLO DE DEBOD y ROSALEDA  DE MADRID;72,81;Vease nota [0]
PARQUE DE LA DEHESA DE LA VILLA;64,17;La superficie, respecto a 2020, ha variado dado que se ha eliminado del recinto del parque un parking privado de una residencia colindante y se ha añadido  una nueva zona de la Plaza Santo Ángel de la Guarda
QUINTA DE LOS MOLINOS;21,26;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;17,16;
QUINTA FUENTE DEL BERRO;7,42;
JARDINES DE SABATINI;2,66;
JARDINES PLAZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;2,90;La superficie, respecto a 2020, ha variado dado que se ha eliminado la acera de la Calle San Quintín, gestionada por la S. G. de Conservación de Zonas Verdes y Arbolado Urbano
JARDINES DEL BUEN RETIRO;114,19;La superficie, respecto a 2020, ha variado dado que se ha añadido el lateral de la Avenida de Menéndez Pelayo.
QUINTA DE TORRE ARIAS;18,44;
PARQUE JUAN PABLO II ;29,60;Superficie del recinto total del parque. Vease nota [1]
PARQUE JUAN CARLOS I ;150,10;Superficie del recinto total del parque. Vease nota [2]
PARQUE LINEAL DEL MANZANARES ;88,22;Vease nota [3]
Z.V.DISTRITO C-LAS TABLAS  ;17,40;Vease nota [4]
ÁRBOLES DEL AIRE;0,34;
PARQUE MADRID RÍO ;105,71;Superficie del recinto total del parque. Vease nota [5]
CASA DE CAMPO;1387,27;Superficie de la zona  forestal en conservación. Vease nota [6]
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;71,21;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;385,93;Superficie total ejecutada. Vease nota [7]
ÁREA FORESTAL DE TRES CANTOS (fuera del municipio de Madrid);215,52;
;;
Total:;2772,33;
;;
;;
;;
[0] PARQUE DEL OESTE Y ROSALEDA DE MADRID;Supeficie (ha);
Rosaleda de Madrid;3,19;
Parque del Oeste;69,62;
 Parque Oeste y Rosaleda de Madrid;72,81;
;;
;;
[1] PARQUE JUAN PABLO II;Supeficie (ha);
Zona verde Juan Pablo II;28,21;
Pistas deportivas;1,39;
Total ;29,60;
;;
;;
[2] PARQUE JUAN CARLOS I;Supeficie (ha);
Zona  Juan Carlos I sin aparcamientos;140,27;
Aparcamiento Principal;2,22;
Aparcamiento del Auditorio;4,12;
Aparcamiento de la Avda. de Logroño;1,49;
Aparcamiento Puerta Norte;2,00;
Total ;150,10;
;;
[3] PARQUE LINEAL DEL MANZANARES;Supeficie (ha);
Z. verde Lineal del  Manzanares;52,42;(Incluye el curso fluvial  Manzanares: 3,26 ha)
Z. verde Lineal del Manzanares Sur;35,8;
Total ;88,22;
;;
[4] Z.V.DISTRITO C-LAS TABLAS ;Supeficie (ha);
Zona ejecutada 2020;17,40;
Zona sin ejecutar 2020;3,11;
Total 2020;20,51;
;;
[5]  PARQUE MADRID RÍO;Supeficie (ha);
Zona verde Madrid Rio;105,00;
Palacio Cristal de Arganzuela;0,71;El palacio está incluido dentro del parque
Total;105,71;
;;
[6] CASA DE CAMPO;Supeficie (ha);
Zona forestal y otros recintos (vías ferroviarias, lago, teleférico…);1.387,27;
Parque de atracciones;20,20;
Zoo;20,89;
Batán;6,50;
Cruz Roja;14,88;
Recintos feriales;65,94;
Pistas de tenis;1,19;
Total;1516,87;
;;
;;
[7] PARQUE FORESTAL VALDEBEBAS- FELIPE VI;Supeficie (ha);
Superficie total en conservación;307,25;
Superficie con bajo mantenimiento;78,68;
Vivero;16,38;
ZONA CERRO-R2;13,20;
ZONA URBANIZACION-M12;22,59;
ZONA M12-AEROPUERTO;14,57;
ZONA BARAJAS;11,93;
TOTAL (ha ejecutadas);385,93;
Total (ha sin ejecutar);85,00;
Superficie total proyectada del Parque;470,93;
;;
;;
;;
;;
;;
