NOMBRE PARQUE;Área (ha) ;OBSERVACIONES;
PARQUE DEL OESTE - TEMPLO DE DEBOD y ROSALEDA  DE MADRID;71,94; Vease nota [0];
PARQUE DE LA DEHESA DE LA VILLA;64,21;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;21,26;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;17,16;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;7,42;;
JARDINES DE SABATINI;2,62;;
JARDINES PLAZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;2,90;;
JARDINES DEL BUEN RETIRO;114,19;;
JARDÍN DE LA QUINTA DE TORRE ARIAS;18,44;Vease nota [1];
PARQUE JUAN PABLO II ;28,21;Superficie del recinto del parque, excluyendo las pistas deportivas no gestionadas por la D.G. de Gestión del Agua y Zonas Verdes. Vease nota [2];
PARQUE JUAN CARLOS I ;150,10; Superficie del recinto total del parque. Vease nota [3];
PARQUE LINEAL DEL MANZANARES ;88,22; Vease nota [4];
ZONAS VERDES DISTRITO C - LAS TABLAS  ;16,29;;
ÁRBOLES DEL AIRE;0,34;;
PARQUE MADRID RÍO ;105,71;Superficie del recinto total del parque. Vease nota [5];
PARQUE DE LA CASA DE CAMPO ;1468,09;Superficie total conservada por la D. G. de Gestión del Agua y Zonas Verdes: zona  forestal y otras superficies. Vease nota [6]. ;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;71,22;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;388,66;Superficie total ejecutada, sin incluir el Parque Princesa Leonor. Vease nota [7];
ÁREA FORESTAL DE TRES CANTOS (fuera del municipio de Madrid);215,52;;
;;;
Total:;2852,51;;
;;;
;;;
;;;
;;;
[0] PARQUE DEL OESTE Y ROSALEDA DE MADRID;Supeficie (ha);;
Rosaleda de Madrid;3,19;;
Parque del Oeste;68,75;;
 Parque del Oeste y Rosaleda de Madrid;71,94;;
;;;
;;;
[1] JARDÍN DE LA QUINTA DE TORRE ARIAS;;;
El jardín de La Quinta de Torre Arias actualmente se encuentra en régimen de conservación municipal directa, fuera del ámbito del contrato CI6;;;
;;;
;;;
;;;
[2] PARQUE JUAN PABLO II;Supeficie (ha);;
Zona verde Juan Pablo II;28,21;;
Pistas deportivas;1,39;No conservado por la D. G. de Gestión del Agua y Zonas Verdes ;
Total ;29,60;;
;;;
;;;
[3] PARQUE JUAN CARLOS I;Supeficie (ha);;
Zona  Juan Carlos I sin aparcamientos;140,27;;
Aparcamiento Principal;2,22;;
Aparcamiento del Auditorio;4,12;;
Aparcamiento de la Avda. de Logroño;1,49;;
Aparcamiento Puerta Norte;2,00;;
Total ;150,10;;
;;;
[4] PARQUE LINEAL DEL MANZANARES;Supeficie (ha);;
Z. verde Lineal del  Manzanares;52,42;(Incluye el curso fluvial  Manzanares: 3,26 ha);
Z. verde Lineal del Manzanares Sur;35,8;;
Total ;88,22;;
;;;
;;;
[5]  PARQUE MADRID RÍO;Supeficie (ha);;
Zona verde Madrid Rio;105,00;;
Palacio Cristal de Arganzuela;0,71;;
Total;105,71;;
;;;
[6] PARQUE DE LA CASA DE CAMPO;Supeficie (ha);;
Zona forestal y otros recintos ;1.387,27;;
Parque de atracciones;20,20;No conservado por la D. G. de Gestión del Agua y Zonas Verdes ;
Zoo;20,89;No conservado por la D. G. de Gestión del Agua y Zonas Verdes ;
Batán;6,50;No conservado por la D. G. de Gestión del Agua y Zonas Verdes ;
Cruz Roja;14,88;;
Recintos feriales ;65,94;;
Pistas de tenis;1,19;No conservado por la D. G. de Gestión del Agua y Zonas Verdes ;
Superficie Total gestionada por el Ayuntamiento;1516,87;;
Superficie total en conservación por  la D. G. de Gestión del Agua y Zonas Verdes ;1468,09;;
;;;
[7] PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Supeficie (ha);;
PARQUE FORESTAL VALDEBEBAS-FELIPE VI;247,14;;
ARROYO VALDEBEBAS;79,23;;
ZONAS PERIFÉRICAS;62,29;;
PRINCESA LEONOR;84,00;;
Superficie en conservación por el contrato CI6 en 2023;388,66;;
;;;
;;;
[8] SUPERFICIE DE VIVEROS Y LABORATORIOS NO INCLUIDA EN ESTA LISTA NI EN LA SUPERFICIE POR DISTRITO;Superficie ha;;
VIVERO ESTUFAS DE RETIRO;3,24;;
VIVERO CASA DE CAMPO;18,37;;
VIVERO MIGAS CALIENTES;7,99;;
LABORATIO MIGAS CALIENTES;0,36;;
TALLERES ESTUFAS RETIRO;0,72;;
Total;30,68;;
;;;
;;;
;;;
;;;
